TIMESTAMP,SENSOR_ID,SENSOR_NAME,SENSOR_TYPE,READING,STATUS,FAULT
1787297363,1,Living Room,TEMPERATURE,0.08,ACTIVE
1787297363,2,Basement,HUMIDITY,0.02,ACTIVE
1787297363,3,Kitchen,TEMPERATURE,-0.18,ACTIVE
1787297363,4,Library,HUMIDITY,-0.10,ACTIVE
1787297363,6,Living Room,TEMPERATURE,-0.10,ACTIVE
1787297364,1,Living Room,TEMPERATURE,-0.04,ACTIVE
1787297364,2,Basement,HUMIDITY,-0.86,ACTIVE
1787297364,3,Kitchen,TEMPERATURE,-0.03,ACTIVE
1787297364,4,Library,HUMIDITY,0.36,ACTIVE
1787297364,6,Living Room,TEMPERATURE,0.08,ACTIVE
1787297365,1,Living Room,TEMPERATURE,0.07,ACTIVE
1787297365,2,Basement,HUMIDITY,-0.78,ACTIVE
1787297365,3,Kitchen,TEMPERATURE,0.02,ACTIVE
1787297365,4,Library,HUMIDITY,-0.10,ACTIVE
1787297365,6,Living Room,TEMPERATURE,0.14,ACTIVE
1787297366,1,Living Room,TEMPERATURE,-0.12,ACTIVE
1787297366,2,Basement,HUMIDITY,-0.16,ACTIVE
1787297366,3,Kitchen,TEMPERATURE,0.18,ACTIVE
1787297366,4,Library,HUMIDITY,-0.27,ACTIVE
1787297366,6,Living Room,TEMPERATURE,0.27,ACTIVE
1787297367,1,Living Room,TEMPERATURE,-0.19,ACTIVE
1787297367,2,Basement,HUMIDITY,-0.97,ACTIVE
1787297367,3,Kitchen,TEMPERATURE,0.35,ACTIVE
1787297367,4,Library,HUMIDITY,0.17,ACTIVE
1787297367,6,Living Room,TEMPERATURE,0.21,ACTIVE
1787297368,1,Living Room,TEMPERATURE,-0.14,ACTIVE
1787297368,2,Basement,HUMIDITY,-1.83,FAULTY
1787297368,3,Kitchen,TEMPERATURE,0.18,ACTIVE
1787297368,4,Library,HUMIDITY,0.30,ACTIVE
1787297368,6,Living Room,TEMPERATURE,0.04,ACTIVE
1787297369,1,Living Room,TEMPERATURE,-0.29,ACTIVE
1787297369,2,Basement,HUMIDITY,-1.80,FAULTY
1787297369,3,Kitchen,TEMPERATURE,0.05,ACTIVE
1787297369,4,Library,HUMIDITY,0.31,ACTIVE
1787297369,6,Living Room,TEMPERATURE,0.12,ACTIVE
1787297370,1,Living Room,TEMPERATURE,-0.37,ACTIVE
1787297370,2,Basement,HUMIDITY,-2.66,FAULTY
1787297370,3,Kitchen,TEMPERATURE,0.12,ACTIVE
1787297370,4,Library,HUMIDITY,0.38,ACTIVE
1787297370,6,Living Room,TEMPERATURE,0.24,ACTIVE
1787297371,1,Living Room,TEMPERATURE,-0.52,ACTIVE
1787297371,2,Basement,HUMIDITY,-2.28,FAULTY
1787297371,3,Kitchen,TEMPERATURE,0.30,ACTIVE
1787297371,4,Library,HUMIDITY,0.94,ACTIVE
1787297371,6,Living Room,TEMPERATURE,0.44,ACTIVE
